"1.3; Compiler: clang ""3.5.0 (tags/RELEASE_350/final)"", C++ version: 201103; JIT Compiler: LLVM-3.5; Date: Apr 20 2015, 12:16:00"
Trial 1
Name,Load_time,Run_time,Total_time
jean_marie,0.10630488395690918,0.0001461505889892578,0.10645103454589844
jana_wolf,0.13388895988464355,0.18575596809387207,0.3196449279785156
biomod14,0.49303507804870605,0.008353948593139648,0.5013890266418457
biomod22,0.06660914421081543,0.0008687973022460938,0.06747794151306152
biomod33,0.09379816055297852,0.047842979431152344,0.14164113998413086
00001,0.022711992263793945,0.0008678436279296875,0.023579835891723633
00002,0.026710033416748047,0.0009629726409912109,0.027673006057739258
00050,0.2103281021118164,0.006228923797607422,0.21655702590942383
00100,0.4257519245147705,0.011603116989135742,0.43735504150390625
00150,0.6600618362426758,0.016811132431030273,0.676872968673706
00200,0.9212028980255127,0.021798133850097656,0.9430010318756104
00250,1.2104661464691162,0.027667999267578125,1.2381341457366943
00300,1.5415239334106445,0.032034873962402344,1.5735588073730469
00350,1.9016969203948975,0.03757190704345703,1.9392688274383545
00400,2.282947063446045,0.043417930603027344,2.3263649940490723
00450,2.7205379009246826,0.04714703559875488,2.7676849365234375
00500,3.1687088012695312,0.054900169372558594,3.22360897064209
Trial 2
Name,Load_time,Run_time,Total_time
jean_marie,0.10826706886291504,0.00014400482177734375,0.10841107368469238
jana_wolf,0.13393712043762207,0.18609881401062012,0.3200359344482422
biomod14,0.4845399856567383,0.00835108757019043,0.4928910732269287
biomod22,0.0664510726928711,0.0008690357208251953,0.06732010841369629
biomod33,0.09363818168640137,0.047859907150268555,0.14149808883666992
00001,0.022602081298828125,0.0008418560028076172,0.023443937301635742
00002,0.026633024215698242,0.0009670257568359375,0.02760004997253418
00050,0.21029186248779297,0.0062220096588134766,0.21651387214660645
00100,0.4240450859069824,0.01158905029296875,0.43563413619995117
00150,0.6563680171966553,0.01674795150756836,0.6731159687042236
00200,0.9203388690948486,0.021897077560424805,0.9422359466552734
00250,1.2099411487579346,0.027611970901489258,1.2375531196594238
00300,1.5439341068267822,0.03191709518432617,1.5758512020111084
00350,1.8977289199829102,0.038101911544799805,1.93583083152771
00400,2.282778024673462,0.0433499813079834,2.3261280059814453
00450,2.717590808868408,0.047460079193115234,2.7650508880615234
00500,3.1549651622772217,0.05541491508483887,3.2103800773620605
Trial 3
Name,Load_time,Run_time,Total_time
jean_marie,0.10778498649597168,0.00014209747314453125,0.10792708396911621
jana_wolf,0.13354992866516113,0.18424105644226074,0.3177909851074219
biomod14,0.48369503021240234,0.008292198181152344,0.4919872283935547
biomod22,0.0665438175201416,0.0008661746978759766,0.06740999221801758
biomod33,0.09412097930908203,0.047721147537231445,0.14184212684631348
00001,0.022451162338256836,0.0008339881896972656,0.0232851505279541
00002,0.026452064514160156,0.0009510517120361328,0.02740311622619629
00050,0.20832014083862305,0.006426811218261719,0.21474695205688477
00100,0.4217400550842285,0.011425018310546875,0.4331650733947754
00150,0.6556301116943359,0.01676797866821289,0.6723980903625488
00200,0.9176840782165527,0.022015094757080078,0.9396991729736328
00250,1.2119801044464111,0.02770090103149414,1.2396810054779053
00300,1.5370769500732422,0.03208589553833008,1.5691628456115723
00350,1.9326450824737549,0.037431955337524414,1.9700770378112793
00400,2.3002171516418457,0.043260812759399414,2.343477964401245
00450,2.77886700630188,0.04748177528381348,2.8263487815856934
00500,3.1837589740753174,0.05497622489929199,3.2387351989746094
