"1.3.1; Compiler: clang ""3.5.0 (tags/RELEASE_350/final)"", C++ version: 199711; JIT Compiler: LLVM-3.5; Date: Apr 20 2015, 12:59:21"
Trial 1
Name,Load_time,Run_time,Total_time
jean_marie,0.10250306129455566,0.00015401840209960938,0.10265707969665527
jana_wolf,0.12502002716064453,0.18559980392456055,0.3106198310852051
biomod14,0.46385693550109863,0.00834202766418457,0.4721989631652832
biomod22,0.06580591201782227,0.0008740425109863281,0.0666799545288086
biomod33,0.09234786033630371,0.044416189193725586,0.1367640495300293
00001,0.021583080291748047,0.0007719993591308594,0.022355079650878906
00002,0.02705097198486328,0.0009529590606689453,0.028003931045532227
00050,0.2076261043548584,0.006384849548339844,0.21401095390319824
00100,0.41875505447387695,0.011536836624145508,0.43029189109802246
00150,0.6533238887786865,0.016843080520629883,0.6701669692993164
00200,0.9135019779205322,0.02198314666748047,0.9354851245880127
00250,1.1951980590820312,0.027669906616210938,1.2228679656982422
00300,1.521712064743042,0.03227686882019043,1.5539889335632324
00350,1.8888089656829834,0.03747701644897461,1.926285982131958
00400,2.2811551094055176,0.04360198974609375,2.3247570991516113
00450,2.731771945953369,0.04775118827819824,2.7795231342315674
00500,3.1461751461029053,0.05515599250793457,3.20133113861084
Trial 2
Name,Load_time,Run_time,Total_time
jean_marie,0.10394597053527832,0.0001480579376220703,0.10409402847290039
jana_wolf,0.12549090385437012,0.18551898002624512,0.31100988388061523
biomod14,0.4577670097351074,0.008402109146118164,0.4661691188812256
biomod22,0.06538796424865723,0.0008721351623535156,0.06626009941101074
biomod33,0.09273600578308105,0.04894614219665527,0.14168214797973633
00001,0.02292180061340332,0.0008130073547363281,0.02373480796813965
00002,0.027295827865600586,0.0009579658508300781,0.028253793716430664
00050,0.20752382278442383,0.0062351226806640625,0.2137589454650879
00100,0.41652512550354004,0.011476993560791016,0.42800211906433105
00150,0.6504459381103516,0.01676797866821289,0.6672139167785645
00200,0.9115250110626221,0.022205114364624023,0.9337301254272461
00250,1.199247121810913,0.027721881866455078,1.2269690036773682
00300,1.5266180038452148,0.032093048095703125,1.558711051940918
00350,1.8882172107696533,0.03767895698547363,1.925896167755127
00400,2.2644340991973877,0.04373502731323242,2.30816912651062
00450,2.690255880355835,0.04732108116149902,2.737576961517334
00500,3.1826369762420654,0.056463003158569336,3.2390999794006348
Trial 3
Name,Load_time,Run_time,Total_time
jean_marie,0.10408377647399902,0.0001480579376220703,0.1042318344116211
jana_wolf,0.12502312660217285,0.18540596961975098,0.31042909622192383
biomod14,0.4573218822479248,0.0083770751953125,0.4656989574432373
biomod22,0.0654449462890625,0.0008759498596191406,0.06632089614868164
biomod33,0.09261488914489746,0.04759097099304199,0.14020586013793945
00001,0.0231781005859375,0.0008578300476074219,0.024035930633544922
00002,0.027117013931274414,0.0009489059448242188,0.028065919876098633
00050,0.20745491981506348,0.006219148635864258,0.21367406845092773
00100,0.41468310356140137,0.011529922485351562,0.42621302604675293
00150,0.6497330665588379,0.016789913177490234,0.6665229797363281
00200,0.9065530300140381,0.02198195457458496,0.928534984588623
00250,1.215743064880371,0.026144981384277344,1.2418880462646484
00300,1.5232980251312256,0.032058000564575195,1.5553560256958008
00350,1.8850278854370117,0.03742694854736328,1.922454833984375
00400,2.257974863052368,0.04314303398132324,2.3011178970336914
00450,2.691679000854492,0.04745197296142578,2.739130973815918
00500,3.2296109199523926,0.055642127990722656,3.2852530479431152
